ID	UTMx	UTMy
	508913,377	4672791,86
	508913,377	4672791,86
	508913,377	4672791,86
	508906,392	4672761,404
	508906,392	4672761,404
	508906,392	4672761,404
	508860,465	4672758,298
	508860,465	4672758,298
	508860,465	4672758,298
	508883,824	4672718,633
	508883,824	4672718,633
	508883,824	4672718,633
	508861,556	4672920,228
	508861,556	4672920,228
	508861,556	4672920,228
	508533,959	4672945,892
	508533,959	4672945,892
	508533,959	4672945,892
	508838,811	4673426,982
	508838,811	4673426,982
	508838,811	4673426,982
	508687,849	4673503,976
	508687,849	4673503,976
	508687,849	4673503,976
	508689,511	4673467,094
	508689,511	4673467,094
	508689,511	4673467,094
	508805,543	4673159,453
	508805,543	4673159,453
	508805,543	4673159,453
	509182,005	4673094,109
	509182,005	4673094,109
	509182,005	4673094,109
	508876,035	4673231,674
	508876,035	4673231,674
	508876,035	4673231,674
	508909,218	4673236,303
	508909,218	4673236,303
	508909,218	4673236,303
	508797,859	4673265,984
	508797,859	4673265,984
	508797,859	4673265,984
	508891,571	4673267,582
	508891,571	4673267,582
	508891,571	4673267,582
	508686,678	4673169,917
	508686,678	4673169,917
	508686,678	4673169,917
	508687,649	4673236,715
	508687,649	4673236,715
	508687,649	4673236,715
	508871,409	4673126,832
	508871,409	4673126,832
	508871,409	4673126,832
	508877,358	4673193,257
	508877,358	4673193,257
	508877,358	4673193,257
	508923,207	4673469,966
	508923,207	4673469,966
	508923,207	4673469,966
	508507,246	4673120,222
	508507,246	4673120,222
	508507,246	4673120,222
	508526,054	4673125,049
	508526,054	4673125,049
	508526,054	4673125,049
	508573,929	4672879,573
	508573,929	4672879,573
	508573,929	4672879,573
	508523,277	4672983,224
	508523,277	4672983,224
	508523,277	4672983,224
	508524,68	4672971,087
	508524,68	4672971,087
	508524,68	4672971,087
	508440,687	4673152,289
	508440,687	4673152,289
	508440,687	4673152,289
	508796,107	4673402,391
	508796,107	4673402,391
	508796,107	4673402,391
	508689,956	4673385,861
	508689,956	4673385,861
	508689,956	4673385,861
	508631,004	4673498,901
	508631,004	4673498,901
	508631,004	4673498,901
	508946,879	4673856,134
	508946,879	4673856,134
	508946,879	4673856,134
	508905,455	4673836,697
	508905,455	4673836,697
	508905,455	4673836,697
	508911,328	4673762,907
	508911,328	4673762,907
	508911,328	4673762,907
	508327,514	4672969,154
	508327,514	4672969,154
	508327,514	4672969,154
	508388,348	4672853,304
	508388,348	4672853,304
	508388,348	4672853,304
	508165,309	4673317,295
	508165,309	4673317,295
	508165,309	4673317,295
	507975,763	4673132,621
	507975,763	4673132,621
	507975,763	4673132,621
	508073,411	4672969,508
	508073,411	4672969,508
	508073,411	4672969,508
	508159,818	4672901,081
	508159,818	4672901,081
	508159,818	4672901,081
	508151,581	4672834,715
	508151,581	4672834,715
	508151,581	4672834,715
	508213,889	4672784,249
	508213,889	4672784,249
	508213,889	4672784,249
	508029,756	4673037,217
	508029,756	4673037,217
	508029,756	4673037,217
	507911,561	4672881,858
	507911,561	4672881,858
	507911,561	4672881,858
	507950,083	4672764,944
	507950,083	4672764,944
	507950,083	4672764,944
	507895,699	4672670,593
	507895,699	4672670,593
	507895,699	4672670,593
	509619,404	4674838,518
	509619,404	4674838,518
	509619,404	4674838,518
	509463,811	4674977,484
	509463,811	4674977,484
	509463,811	4674977,484
	509367,629	4674753,166
	509367,629	4674753,166
	509367,629	4674753,166
	509329,932	4674837,146
	509329,932	4674837,146
	509329,932	4674837,146
	509285,567	4674756,63
	509285,567	4674756,63
	509285,567	4674756,63
	509224,001	4674736,075
	509224,001	4674736,075
	509224,001	4674736,075
	509477,882	4674595,515
	509477,882	4674595,515
	509477,882	4674595,515
	509469,828	4674571,191
	509469,828	4674571,191
	509469,828	4674571,191
	509651,095	4674959,538
	509651,095	4674959,538
	509651,095	4674959,538
	509196,545	4674406,671
	509196,545	4674406,671
	509196,545	4674406,671
	508881,256	4674267,2
	508881,256	4674267,2
	508881,256	4674267,2
	508828,297	4674308,98
	508828,297	4674308,98
	508828,297	4674308,98
	508838,573	4674404,744
	508838,573	4674404,744
	508838,573	4674404,744
	508974,938	4674380,201
	508974,938	4674380,201
	508974,938	4674380,201
	509189,698	4674313,131
	509189,698	4674313,131
	509189,698	4674313,131
	509956,079	4676026,425
	509956,079	4676026,425
	509956,079	4676026,425
	510003,358	4675833,602
	510003,358	4675833,602
	510003,358	4675833,602
	509769,41	4675804,677
	509769,41	4675804,677
	509769,41	4675804,677
	508683,204	4673838,366
	508683,204	4673838,366
	508683,204	4673838,366
	508879,009	4673577,163
	508879,009	4673577,163
	508879,009	4673577,163
	508305,837	4673616,315
	508305,837	4673616,315
	508305,837	4673616,315
	507750,968	4672825,86
	507750,968	4672825,86
	507750,968	4672825,86
	507948,128	4672404,392
	507948,128	4672404,392
	507948,128	4672404,392
	507999,319	4672340,051
	507999,319	4672340,051
	507999,319	4672340,051
	508526,558	4672263,436
	508526,558	4672263,436
	508526,558	4672263,436
	508382,815	4672047,467
	508382,815	4672047,467
	508382,815	4672047,467
	509034,541	4672047,654
	509034,541	4672047,654
	509034,541	4672047,654
	508993,107	4671880,879
	508993,107	4671880,879
	508993,107	4671880,879
	508840,823	4671892,986
	508840,823	4671892,986
	508840,823	4671892,986
	508875,475	4671769,056
	508875,475	4671769,056
	508875,475	4671769,056
	508877,239	4671714,301
	508877,239	4671714,301
	508877,239	4671714,301
	508930,21	4671351,547
	508930,21	4671351,547
	508930,21	4671351,547
	508831,987	4671315,266
	508831,987	4671315,266
	508831,987	4671315,266
	508824,57	4671299,755
	508824,57	4671299,755
	508824,57	4671299,755
	508519,73	4671895,438
	508519,73	4671895,438
	508519,73	4671895,438
	508446,78	4671826,719
	508446,78	4671826,719
	508446,78	4671826,719
	508218,827	4671595,438
	508218,827	4671595,438
	508218,827	4671595,438
	508110,364	4672004,218
	508110,364	4672004,218
	508110,364	4672004,218
	508979,84	4671635,229
	508979,84	4671635,229
	508979,84	4671635,229
	508679,594	4676831,469
	508679,594	4676831,469
	508679,594	4676831,469
	508645,092	4676787,241
	508645,092	4676787,241
	508645,092	4676787,241
